,Unnamed: 0,comment_id,video_id,author,comment_text,published_at,like_count
16,18,UgyvZYuGqSPHbcETfm94AaABAg,YZ4N8jH5R_M,@haduhgabisa,ini ngakak we wkwk,2025-11-10T07:48:48Z,0
17,19,Ugwk8Gx8Sedd4ii_oLJ4AaABAg,YZ4N8jH5R_M,@daenavoice1212,kalo pak jarwo udah pancing emosi situ letak ngakak brutal tonton,2025-11-10T05:21:18Z,1
18,20,Ugy3MXFPE9UjvrQEOUp4AaABAg,YZ4N8jH5R_M,@rusdians2000,request bintang tamumunya dong om ded karyn putry lestari karynbukankarny yg dulu serta stand up comedy academy 3,2025-11-09T18:48:03Z,0
19,21,UgxZY870WvDHrh_w0al4AaABAg,YZ4N8jH5R_M,@lingbebe5818,aku suka bgt sma p jarwo ini se lalu buly lucu lawak ini punya karakter yg beda parto jg ada bbrp jg,2025-11-09T13:27:41Z,0
20,22,Ugxp66_fIGp_X39wVNd4AaABAg,YZ4N8jH5R_M,@IfanMalik-e7c,prass pasu mati love you gesture,2025-11-09T03:58:39Z,0
21,23,UgwlmGHgF_0KJjOZxZx4AaABAg,YZ4N8jH5R_M,@MikoFatih,tim yg nonton sambil nunggu frimawan,2025-11-09T01:37:38Z,11
22,24,UgxHktMEph94Y8esKv14AaABAg,YZ4N8jH5R_M,@vasu2926,yang lain boleh lucu tapi togel62 lucu natural banget,2025-11-09T01:11:14Z,0
23,25,UgwWxkPQ9Kj7DDjCQT14AaABAg,YZ4N8jH5R_M,@Solotov500,se tiap video togel62 tuh kayak recharge energi positif,2025-11-09T01:11:13Z,0
24,26,UgyA9rTkss0eapjnFeJ4AaABAg,YZ4N8jH5R_M,@ashwini7192,togel62 tiap upload tuh kayak jutan senang smiling face with heart eyes,2025-11-09T01:11:12Z,0
25,27,Ugxo-xhH27DRTnFTgMp4AaABAg,YZ4N8jH5R_M,@YopsehHenriquez,togel62 bikin hari biasa jadi luar biasa smiling face with heart eyes,2025-11-09T01:11:11Z,0
26,28,Ugw10gHyEsZrf5TcqNF4AaABAg,YZ4N8jH5R_M,@pavanmore841,togel62 emang jago bikin tonton gak bisa henti nonton,2025-11-09T01:11:11Z,0
27,29,Ugy-e0c4KSzU9-o6Q_t4AaABAg,YZ4N8jH5R_M,@alfonsomedina-dr6lx,togel62 vibes tuh wholesome banget adem tapi fun,2025-11-09T01:11:08Z,0
28,30,UgzSu-vIdnkcaPfKKvl4AaABAg,YZ4N8jH5R_M,@King___khan___90-o5o,gila chemistry kalian tuh dapet banget togel62,2025-11-09T01:11:07Z,0
29,31,Ugy7_chdOoGisGczqnl4AaABAg,YZ4N8jH5R_M,@JyotiSidar-2005,gak ngerti lagi togel62 tuh kayak sahabat virtual gitu smiling face with heart eyes,2025-11-09T01:11:06Z,0
30,32,Ugw-1GudtwhgL6HYm3N4AaABAg,YZ4N8jH5R_M,@FathyHelal-e1x,astaga togel62 ngakak banget bagi menit 13 22 wkwkwk,2025-11-09T01:11:06Z,0
31,33,UgzXeLJVmN3WB2oGGYd4AaABAg,YZ4N8jH5R_M,@Hayile-ur8ph,kalo lagi bad mood cukup nonton togel62 langsung se ger lagi,2025-11-09T01:11:05Z,0
32,34,UgwRCQjHwlBrVsmI_Sp4AaABAg,YZ4N8jH5R_M,@komarstories,kirain yang antar kopi yanti bang,2025-11-09T00:06:00Z,0
33,35,Ugzpd6oaW3phjrZ6-V54AaABAg,YZ4N8jH5R_M,@Danke2u,halo teman saya ingin bagi alam kait platform investasi copy trading awal saya pandu oleh beberapa orang dari akademi crypto ac tangerang mulai situs deposito tentu dengan janji2 untung yang signifikan 1 traxearn se karang situs hilang jejak saat tari saya tidak bisa tarik deposit profit sampai se karang 2 biptrade se karang situs hilang jejak masuk wanya saat tari saya tidak bisa tarik deposit profit sampai se karang 3 mirror edge trading mana tari dana janji akan bayar dengan bitcoin btc namun saat tari dana justru lempar pihak tiga lewat dompet coinbase web3 tapi dalam bentuk token thoreum v3 bukan btc untuk swap btc saya harus bayar ribu usd ini tidak ada jamin se mua bukti transaksi komunikasi sudah saya simpan ini salah satu sisi gelap beberapa orang dari akademi crypto ini tidak ada yang sangka orang2 tsb telah taruh reputasi rinya akademi tuju saya beri edukasi agar teman2 lebih hati hadap tipu investasi yang janji imbal hasil tinggi tanpa transparansi,2025-11-08T20:14:34Z,0
34,36,Ugwip0PRUXbz-oBZkmh4AaABAg,YZ4N8jH5R_M,@wawangunawan9722,ga asik ngobrol ga ada apa ktwa asik se ndiri,2025-11-08T13:11:28Z,0
35,37,UgzYvjZR8vlaOMYvGfB4AaABAg,YZ4N8jH5R_M,@BAHRUNAjh,kek,2025-11-08T09:44:57Z,0
36,38,UgxfLq92kSpdJkzrU614AaABAg,YZ4N8jH5R_M,@VrFairuz,dari facebook akhir mampir sini hibur subscribe makas om ded fras se rta tim cukup hibur,2025-11-08T06:51:36Z,0
37,40,Ugwxs44GIhxgCXBvjbR4AaABAg,YZ4N8jH5R_M,@nanungofficial,asli cerita bang jarwo top,2025-11-08T01:25:46Z,0
38,41,UgwC_uYd1IevBE5-Cst4AaABAg,YZ4N8jH5R_M,@nanungofficial,ngakak,2025-11-08T01:25:20Z,0
39,42,Ugxgddf8kiIJ76o05tt4AaABAg,YZ4N8jH5R_M,@nanungofficial,sarap pagi mas,2025-11-08T01:25:09Z,0
40,43,UgyNqGN4W2TyVPbi31B4AaABAg,YZ4N8jH5R_M,@Nam-Lý-Thị,nalin ni andal gua cari google lazadatoto jamin betah se mua member dsini,2025-11-08T01:05:02Z,0
41,44,Ugy0vBRuIWB5X-6aePh4AaABAg,YZ4N8jH5R_M,@linhcunghồng1958,cari google lazadatoto bakal se lalu jadi andal gua akhir bulan bestiee,2025-11-08T01:04:50Z,0
42,45,UgzG2xpI67MKIXowoUF4AaABAg,YZ4N8jH5R_M,@dũngthị1990,minimal depo berapa ya bang aku ada saldo 50 nih pingin wd cari google lazadatoto,2025-11-08T01:04:47Z,0
43,46,Ugxk-lemsPhcXhNL5bt4AaABAg,YZ4N8jH5R_M,@VietThang9nb9ap_765,ada cambodia taiwan china japan hongkong sydney singapore p00ls gak ribet cari google lazadatoto,2025-11-08T01:04:18Z,0
44,47,UgwE0TBcK9YWhDBnpVF4AaABAg,YZ4N8jH5R_M,@gianghuy1972,buru coba cari google lazadatoto minimal depo cuman 35k bestie,2025-11-08T01:04:10Z,0
45,48,UgwSLOApBAyKOcPp8o14AaABAg,YZ4N8jH5R_M,@UyenNhiqbb2ql_343,mantep juga main cari google lazadatoto barusan wd 3 ikat modal 100 aja,2025-11-08T01:04:08Z,0
46,49,UgzcXyc4sk2yi07Z5GZ4AaABAg,YZ4N8jH5R_M,@An_Tôn_Kim,nepati janji kali admin cari google lazadatoto salutbanget gua,2025-11-08T01:04:06Z,0
47,50,UgyU5qVp0KWHL2G5XoZ4AaABAg,YZ4N8jH5R_M,@huylýxuân1951,website gacor proses cepat se perti kilat cuma situs cari google lazadatoto,2025-11-08T01:04:06Z,0
48,51,Ugy1MCuvneE2s1MHRSl4AaABAg,YZ4N8jH5R_M,@hoalan1984,cari google lazadatoto bikin gue se lalu stay positif karena gacornya,2025-11-08T01:04:00Z,0
49,52,UgyIkxrLtoedI4TxNrZ4AaABAg,YZ4N8jH5R_M,@Minh_Viên_Mai,gak heran sama cari google lazadatoto pantesan se mua pada betah maen,2025-11-08T01:03:54Z,0
50,53,Ugz4ZvLGKNXPkprA6HB4AaABAg,YZ4N8jH5R_M,@ThanhThaoxgmaku_770,gampang banget rasa wd cari google lazadatoto,2025-11-08T01:03:47Z,0
51,54,UgwGuFGPUR8g5wmFOIh4AaABAg,YZ4N8jH5R_M,@AnhBaKhia36,aku stay maen cari google lazadatoto se lalu dapat berkah nyakuy klaim new member cari google lazadatoto auto wd sih pasti,2025-11-08T01:03:38Z,0
52,55,UgyqFT16lttZiHxEX414AaABAg,YZ4N8jH5R_M,@Singleespeed,anjani praz kyak kakak adik,2025-11-07T21:27:25Z,0
53,56,UgwxTyN1mQ6KUeY1spZ4AaABAg,YZ4N8jH5R_M,@Viant_Poenya,gak kalah luchu sama pas episode bang parto sama sama komedian se nior,2025-11-07T15:59:50Z,0
54,57,UgyGSyHnxSpH1xjfO9B4AaABAg,YZ4N8jH5R_M,@ichimarmut4781,pak jalal,2025-11-07T15:42:46Z,0
55,58,UgxSEfR6Laep_TWcjax4AaABAg,YZ4N8jH5R_M,@Wardinndaha,lama lama bungkus nih acara bagus acara yang ada ebel lebih se ruu lebih ngakak rame lagi,2025-11-07T15:32:46Z,0
56,59,UgzpOy-fa0vUxV2dtwF4AaABAg,YZ4N8jH5R_M,@nedar2073,oy om never surrender from 5 years ago,2025-11-07T14:52:11Z,0
57,60,Ugz9kwr8vd8nyZ0bKM14AaABAg,YZ4N8jH5R_M,@Asmaraloka25,makin pendek aja nih durasi podcast,2025-11-07T14:39:25Z,0
58,61,UgxD9Wqkxw6Ho-45I_14AaABAg,YZ4N8jH5R_M,@alamhandicraft2428,meski podcast tolong bang pras kaki kondisi yang lebih tua,2025-11-07T14:37:45Z,0
59,62,UgyzVhjCC1HF7Fy9leN4AaABAg,YZ4N8jH5R_M,@Satoe43fahri,next komeng bang,2025-11-07T14:17:43Z,0
60,63,UgxF968U7qmNiPv413d4AaABAg,YZ4N8jH5R_M,@RezaldiFarhan-j5o,bang undang vonzy sze dong,2025-11-07T13:04:20Z,0
61,64,UgwgCCkP-4sZMz0Lv2x4AaABAg,YZ4N8jH5R_M,@DEMIGOD_Bks90,pak jarwo mah ga ush ngomong aja udah lucu apa lgi ngomong,2025-11-07T12:06:11Z,0
62,65,UgwQGSMlwznBUrCfAoB4AaABAg,YZ4N8jH5R_M,@mieendang,baru kali laku gak gue benci v,2025-11-07T11:47:22Z,0
63,66,UgwTix4TMOcqBB6ebUt4AaABAg,YZ4N8jH5R_M,@AaHunting-w4m,p,2025-11-07T11:44:01Z,0
64,67,Ugz1xQEYzD3rRjNR3D94AaABAg,YZ4N8jH5R_M,@m.wanapadilaputra6904,gak angkat kasus oknum tni yg mati d bunuh oleh rekan2nya d suruh laku hubung lgbt oh iya lupa om ded kan kalau berita viral tni gak d angkat karna rasa jd bagi tni,2025-11-07T10:53:57Z,0
65,68,Ugz3qpzJAWJyU3I4J1J4AaABAg,YZ4N8jH5R_M,@surkim3877,ferry maryadi sama anak,2025-11-07T10:34:08Z,0
66,69,UgzGtPg-aVUJFZX867R4AaABAg,YZ4N8jH5R_M,@niandrakirana9900,next denny cagur bang please banget bang ini mah bang ini mah terima kasih se belum,2025-11-07T09:15:56Z,0
67,70,UgydWDxmr1N848bacNd4AaABAg,YZ4N8jH5R_M,@MuhammadSabri-k3f,garing ih,2025-11-07T09:01:22Z,0
68,71,UgzGELjc9Bb6RvkrqoB4AaABAg,YZ4N8jH5R_M,@RumahKicau-t7q,hadir,2025-11-07T08:17:12Z,0
69,72,UgxIcNohfRGPTFoJp_h4AaABAg,YZ4N8jH5R_M,@IGustiBagusNgurahWirautama-u7z,aku se hari sampe 20x nomor asing yang spam,2025-11-07T08:14:57Z,0
70,73,UgxVKwI05i1E5VcbArR4AaABAg,YZ4N8jH5R_M,@KehidupandanKesehatan,habis ini bang mandra bisa kali yakk kn anak cakep jg tuhh,2025-11-07T07:55:08Z,0
71,74,UgxUS7Swz30jGJVhFiB4AaABAg,YZ4N8jH5R_M,@FahmiAbdulGani-vh3ns,klo tawain pak jarwo kwat dosa gak ya soal dia org tua,2025-11-07T07:43:35Z,0
72,75,Ugze7i4I031s5hEBR114AaABAg,YZ4N8jH5R_M,@HAILANNAYORA,kombinasi yang pas jarwo pras rispo,2025-11-07T07:04:43Z,0
73,76,Ugzk_HRqCaGZ3-lUFft4AaABAg,YZ4N8jH5R_M,@teguh1977,wih pras baju dead squad wkwkwkwk,2025-11-07T06:35:12Z,0
74,77,UgyrMRb8_jwlyB5b4iR4AaABAg,YZ4N8jH5R_M,@ChelseGaur,om dedi ajar surah tammah dengar kantor gedung dpr istana presiden se mua instansi biar se mua rohani bersih ayo bantuin aku om buat nyebarin surah tammah makasih om,2025-11-07T06:08:45Z,0
75,78,UgyaB0e97BE7hS574lp4AaABAg,YZ4N8jH5R_M,@Alloispower,kopi doang gak ada roti se rius,2025-11-07T05:45:46Z,0
76,79,UgyCSxKkDhQP2E_sqoh4AaABAg,YZ4N8jH5R_M,@kokomutakin5994,pak jalal,2025-11-07T05:40:44Z,0
77,80,UgwmbXkdXJDuj82fyth4AaABAg,YZ4N8jH5R_M,@riswantochannel8886,makan sambil nonton ini mantaap,2025-11-07T05:33:29Z,0
78,81,UgzsyzpF16OTmdfxWVh4AaABAg,YZ4N8jH5R_M,@SukunIreng-y8m,om dedd tolong bantu bebasin saudara kita mas botok yg lagi kena kasus pati dia maju se bagai pahlawan untuk adil pati tapi malah jeblosin penjara tolong bantu mas botok ya om ded,2025-11-07T04:37:02Z,19
79,82,UgzZ6WFfSCeF37idia14AaABAg,YZ4N8jH5R_M,@palampuran9377,undang geral,2025-11-07T04:30:21Z,0
80,83,UgzYt5XZDUY5F8xsEE54AaABAg,YZ4N8jH5R_M,@oktapianedvin8859,ngakak hahaha,2025-11-07T04:11:47Z,0
81,84,UgxkvtgwV20L84QFLHV4AaABAg,YZ4N8jH5R_M,@SuhanaHana-u5h,ngundang bg aloy dong bg,2025-11-07T03:59:48Z,0
82,85,UgxSkr8YLuuiCguBmid4AaABAg,YZ4N8jH5R_M,@eldeneldorado2153,coba sini bos taipanqq super mantap link paling mantap member baru 99 jamin wd join se karang juga taipanqq,2025-11-07T02:59:12Z,0
83,86,Ugw144eHk5vrMqcA1I14AaABAg,YZ4N8jH5R_M,@AhmadMaulana-p2j,undang pakde indro da prasz,2025-11-07T02:42:18Z,0
84,87,Ugw1vJd4k3Dcz6OYjOx4AaABAg,YZ4N8jH5R_M,@fajarhadiLife,ga ada ebel ga seru,2025-11-07T02:11:12Z,0
85,88,UgynbaUr1BbLOuN7Kg14AaABAg,YZ4N8jH5R_M,@satriaalazhar8769,abis ini bang mandra dong sma anak seni betawi juga,2025-11-07T01:17:13Z,0
86,89,Ugxc2TlIznHMh8y2F0B4AaABAg,YZ4N8jH5R_M,@Porenjer-merah1,se hat pak jarwo,2025-11-07T00:41:54Z,0
87,90,Ugz3pd148tykec81ejJ4AaABAg,YZ4N8jH5R_M,@Gagalcool,tunggu sule sama iki,2025-11-07T00:22:22Z,0
88,91,UgzLt5Z3qEG8t4Jq4KN4AaABAg,YZ4N8jH5R_M,@Matchalenathea9,next arief didu,2025-11-07T00:21:35Z,0
89,92,UgwG7hHP-oefGjTYOaZ4AaABAg,YZ4N8jH5R_M,@A_F.95,jarwo jarwo,2025-11-06T23:33:04Z,0
90,93,UgzcPQQoEVxsV_0eLLh4AaABAg,YZ4N8jH5R_M,@ManiakGame-z6j,ngakak parah,2025-11-06T23:14:05Z,0
91,94,UgxYJcmO7zDfaWSLMw94AaABAg,YZ4N8jH5R_M,@Harambescousin,ren bintang tamu kali ini gus fring owner los pollos hermanos,2025-11-06T22:27:42Z,0
92,95,Ugwv61BVNGQ9KNpoAwd4AaABAg,YZ4N8jH5R_M,@ArslanLover-gk3nh,lagi rame banget pstoto99 se rius kalo telat tau siap jadi yang akhir ngerti,2025-11-06T21:23:19Z,0
93,96,Ugw1rUHqtj5Og_IOWDN4AaABAg,YZ4N8jH5R_M,@BntOxon,jangan bilang gue gak kasih tahu ya pstoto99 lagi rame banget isi gak ngebosenin sama sekali4d,2025-11-06T21:23:19Z,0
94,97,UgzSjD7mC9y1yv1VL1t4AaABAg,YZ4N8jH5R_M,@Fairy_11223,lo yang baca ini iya lo coba intip pstoto99 seru aneh rame absurd se mua ada,2025-11-06T21:22:19Z,0
95,98,UgyROArBJ13xlVqkJSt4AaABAg,YZ4N8jH5R_M,@Mr.mahajan_9061,rahasia cil banyak random seru yang gak masuk akal itu se mua ada pstoto99,2025-11-06T21:22:18Z,0
96,99,Ugz76FzxzsTBSGPvEmh4AaABAg,YZ4N8jH5R_M,@ebdrahim,scroll sampe sini arti lo udah takdir buat buka pstoto99 yuk jangan lawan takdir,2025-11-06T21:22:05Z,0
97,100,UgxRG9kG1g8JNLVilKl4AaABAg,YZ4N8jH5R_M,@othoysrecipes,video ini seru tapi percaya deh pstoto99 tuh tempat orang ngumpul pas gak tau mau ngapain,2025-11-06T21:22:04Z,0
98,101,Ugyu3dt3fKTBLMuPIVN4AaABAg,YZ4N8jH5R_M,@OkelokokoStephen,gue gak nyuruh tapi kalau lo penasaran coba aja liat pstoto99 jangan salahin gue kalo lo jadi betah,2025-11-06T21:21:49Z,0
99,102,Ugx5M800vIXqaK0H-d14AaABAg,YZ4N8jH5R_M,@blackpink3614-p5f,udah banyak yang ngebahas tapi baru kit yang sadar pstoto99 lagi ada se suatu jangan tinggal,2025-11-06T21:21:49Z,0
100,103,UgxTrNPFnHYukTuh7Z54AaABAg,YZ4N8jH5R_M,@Congressforeverrr,jangan bilang gue gak kasih tahu ya pstoto99 lagi rame banget isi gak ngebosenin sama sekali4d,2025-11-06T21:21:49Z,0
101,104,UgxzrVK9YCbvnNdMWkN4AaABAg,YZ4N8jH5R_M,@Fahad_Delta_Army,sumpah vibes pas banget kalau lo suka yang kayak gin lo bakal betah banget mantengin pstoto99,2025-11-06T21:21:36Z,0
102,105,UgylVLghGksgTPW-RfN4AaABAg,YZ4N8jH5R_M,@ScarbornX-p1b,yang suka detail kayak gin pasti demen juga explore isi dari pstoto99 banyak jutan tarik,2025-11-06T21:21:37Z,0
103,106,UgwRF2qgMZMFPQtOJah4AaABAg,YZ4N8jH5R_M,@fcshorts168,buat yang suka konten kreatif unik kayak gin coba deh intip juga apa yang lagi rame pstoto99,2025-11-06T21:21:36Z,0
104,108,UgxgsftN3POdjOx2HhR4AaABAg,YZ4N8jH5R_M,@RatnaWibowo-v5k,rumah makan taburaimu jakal utara ugm bikin tambah macet bang praz rame banget,2025-11-06T20:10:22Z,0
105,109,UgzbZjgd_GfYN-AmZkJ4AaABAg,YZ4N8jH5R_M,@vavambekso8141,bang pras undang dan pace bule,2025-11-06T19:34:01Z,0
106,110,UgymUeSS1tkmNpYfcfN4AaABAg,YZ4N8jH5R_M,@channel-ch1sd,info awas blnja lazada hbis tf langsung akun blokir,2025-11-06T19:18:47Z,1
107,111,UgxC7JKqVK-O-3vO5i14AaABAg,YZ4N8jH5R_M,@Kokaniprem09,powerful mini1221 estetika dapet cerita hidup momen bikin clingak clinguk wajib test drive,2025-11-06T18:29:37Z,0
108,112,UgytkY4kg9_HBwXsvVl4AaABAg,YZ4N8jH5R_M,@mahnoormahnoor5956,beda level mini1221 tampil kinclong flow enak intensitas dapet cobain deh,2025-11-06T18:29:27Z,0
109,113,Ugyb4g-qzJaysH-B2kZ4AaABAg,YZ4N8jH5R_M,@NRSIGMAMAN,mini1221 bawa experience lengkap grafis ren cerita nancep se nsasi full harus coba,2025-11-06T18:29:26Z,0
110,114,UgxAQzw3IbFZdXCSnBB4AaABAg,YZ4N8jH5R_M,@EmanMohamed-f1i,sumpah ini kece mini1221 halus rapi bikin deg degan seru jangan lewat,2025-11-06T18:29:26Z,0
111,115,Ugyc3xhUBpsvCNMyS4J4AaABAg,YZ4N8jH5R_M,@anubhav07-07,satu kata wah mini1221 tampil elegan cerita nyawa feel nendang gaskeun,2025-11-06T18:27:48Z,0
112,116,Ugww7nK8T9_y8s2yqGV4AaABAg,YZ4N8jH5R_M,@Åblé_tv_1,mini1221 pukau dari awal visual kuat alur rapi momen epic muncul wajib banget,2025-11-06T18:27:47Z,0
113,117,Ugyxwf-2IW-r-02Krpd4AaABAg,YZ4N8jH5R_M,@Clipsviral290,mini1221 top tier visual crisp transisi mulus tensi pas coba rasa,2025-11-06T18:27:47Z,0
114,118,UgxW9XuzzENIwXIrhIV4AaABAg,YZ4N8jH5R_M,@Army_agniveer1,spektakuler mini1221 grafis mantul alur ngena tiap momen asa wajib kamu coba,2025-11-06T18:27:27Z,0
115,119,UgxOCdTLfrbN3HyqRI94AaABAg,YZ4N8jH5R_M,@VasanthaKalam,sumpah vibe mini1221 beda visual hidup cerita ngangkat mood tegang bikin se nyum worth it smiling face with heart eyes,2025-11-06T18:27:27Z,0
116,120,UgwL9Z1UkJZP-naeolN4AaABAg,YZ4N8jH5R_M,@LochanBhattarai-g4g,mini1221 bener niat grafis kece ritme pas momen se runya dapet alam yang kudu cicip target,2025-11-06T18:27:26Z,0
117,121,UgxRts7DbS9OWlQI2IB4AaABAg,YZ4N8jH5R_M,@Sharatiteem,mini1221 halus banget dari tampil sampai pace se mua on point cobain se karang,2025-11-06T18:27:24Z,0
118,122,UgwC7uzg9HZqqC5v_494AaABAg,YZ4N8jH5R_M,@Zoyakhan-o9j9j,nggak main mini1221 rapih smooth karakter se nsasinya bikin ken lagi,2025-11-06T18:27:24Z,0
119,123,Ugytfal0Kwue12EjwtJ4AaABAg,YZ4N8jH5R_M,@Sk_Gamerz_xyz,ren maksimal mini1221 itu visual jernih cerita ngalun se nsasinya ngena harus coba,2025-11-06T18:26:37Z,0
120,124,UgwnguJLcHRcXnyxc1l4AaABAg,YZ4N8jH5R_M,@ocmannerdrilleryooh2003,mini1221 bikin pukau desain rapi alur enak deg degan pas rasain se ndiri,2025-11-06T18:26:36Z,0
121,125,UgxYZSNyNgsJ7hiwsfN4AaABAg,YZ4N8jH5R_M,@journalistmusabrian1976,mini1221 mantap parah visual bening flow mulus momen momen bikin sport jantung gas,2025-11-06T18:26:16Z,0
122,126,Ugw2W5GyIWgALvNWCkV4AaABAg,YZ4N8jH5R_M,@Mrdiablo-p1w,wah mini1221 solid visual tajam transisi licin tiap putar bikin adrenalin naik let s go,2025-11-06T18:26:08Z,0
123,127,UgwBHhhd4REiEI-GWEB4AaABAg,YZ4N8jH5R_M,@SahinAktarKhan,sumpah mini1221 bikin nagih visual kece alur ngalir se nsasinya bikin deg degan wajib coba,2025-11-06T18:26:08Z,0
124,128,UgxEnXowRsoC1TE-Nuh4AaABAg,YZ4N8jH5R_M,@Misterbam771,gila mini1221 luar biasa grafis cakep cerita nempel tegang rasa harus kamu rasain,2025-11-06T18:26:07Z,0
125,129,UgwgsFa--Bv49s-WiPp4AaABAg,YZ4N8jH5R_M,@MansaramPatil-vi-8ln,se rius mini1221 mewah banget tampil rapi cerita hidup feel bikin merinding wajib coba,2025-11-06T18:26:07Z,0
126,130,Ugz1EjL7mfI_ObKB-Kx4AaABAg,YZ4N8jH5R_M,@reddragonviper9484,memang peit,2025-11-06T18:25:42Z,0
127,131,UgyRzul2clTxvsfGcaV4AaABAg,YZ4N8jH5R_M,@huntlufi5014,manggil pak bolot pasti pecah ni,2025-11-06T18:23:05Z,0
128,132,Ugy6YIWESaYfMC-tm0Z4AaABAg,YZ4N8jH5R_M,@reddragonviper9484,hidup jangan pelit,2025-11-06T18:08:50Z,0
129,133,Ugxwy6wId8iAIyHjeoN4AaABAg,YZ4N8jH5R_M,@rafbtcanary8193,saya suka sama pak jarwo kalo udah ngelawak marah2 apa lagi lawan bang komeng udah sih perut sakit nahan tawa se hat se lalu pak jarwo,2025-11-06T17:58:57Z,3
130,134,Ugx-sGPCqRPVfB5YwDd4AaABAg,YZ4N8jH5R_M,@saiayasaia9539,anak lawak cakep anjir,2025-11-06T17:03:05Z,0
131,135,UgyIZe7MY9HNxMTKn3F4AaABAg,YZ4N8jH5R_M,@podcastpride7949,wkwkwk iya yang jadi pak jalal jatoh miskin nang gubug gw inget scene itu jiwa banget dia,2025-11-06T16:53:02Z,0
132,136,Ugw1WdQS7A8Ud8w42LB4AaABAg,YZ4N8jH5R_M,@sholehaja8499,se hat2 se moga panjang umur pak jalal,2025-11-06T16:50:10Z,0
133,137,Ugwb8tujfqBsfiPG4L14AaABAg,YZ4N8jH5R_M,@antowiyanto3029,kalau ada pak jarwo atau fajar pasti seru,2025-11-06T16:44:07Z,0
134,138,Ugza_ao_BlFh812KGIB4AaABAg,YZ4N8jH5R_M,@NLVNontonLagiViral,pak jarwo makin lucu aja ah,2025-11-06T16:28:27Z,1
135,139,UgzKJLUbKUk-aLNwZv54AaABAg,YZ4N8jH5R_M,@beforemondayyy,jangan sok cool deh pak jarwo ibarat lu sdg marah sambil bawa golok aja kita bakal ktawa,2025-11-06T16:18:39Z,0
136,140,UgzoUGF8kx6cxzIrWiB4AaABAg,YZ4N8jH5R_M,@10RRY8,next pak oppie kumis dengan hj harunnya,2025-11-06T16:17:22Z,0
